"Species","Site","Count","Year"
"Violet-crowned Hummingbird","Arizona A",2,1993
"Violet-crowned Hummingbird","Arizona A",1,2001
"Violet-crowned Hummingbird","Arizona A",1,1997
"Violet-crowned Hummingbird","Mexico B",1,1980
"Violet-crowned Hummingbird","Mexico B",2,1964
"Violet-crowned Hummingbird","Mexico B",0,1995
"Violet-crowned Hummingbird","Arizona B",0,2004
"Violet-crowned Hummingbird","Mexico B",7,1972
"Violet-crowned Hummingbird","Arizona A",1,1992
"Violet-crowned Hummingbird","Mexico B",0,2006
"Violet-crowned Hummingbird","Mexico B",3,2001
"Violet-crowned Hummingbird","Arizona A",1,2002
"Violet-crowned Hummingbird","Mexico B",1,1983
"Violet-crowned Hummingbird","Arizona B",1,1983
"Violet-crowned Hummingbird","Arizona A",1,1961
"Violet-crowned Hummingbird","Mexico B",52,1970
"Violet-crowned Hummingbird","Arizona A",1,1990
"Violet-crowned Hummingbird","Arizona A",1,1999
"Violet-crowned Hummingbird","Mexico B",2,2004
"Violet-crowned Hummingbird","Arizona B",0,1998
"Violet-crowned Hummingbird","Mexico A",0,2004
"Violet-crowned Hummingbird","Arizona B",1,1992
"Violet-crowned Hummingbird","Arizona A",1,1987
"Violet-crowned Hummingbird","Mexico B",1,2007
"Violet-crowned Hummingbird","Mexico B",12,1974
"Violet-crowned Hummingbird","Arizona B",3,2001
"Violet-crowned Hummingbird","Arizona A",1,1982
"Violet-crowned Hummingbird","Arizona B",2,1995
"Violet-crowned Hummingbird","Mexico B",2,1965
"Violet-crowned Hummingbird","Arizona A",2,2000
"Violet-crowned Hummingbird","Mexico B",2,1968
"Violet-crowned Hummingbird","Mexico B",1,1979
"Violet-crowned Hummingbird","Arizona B",1,1990
"Violet-crowned Hummingbird","Mexico B",3,1973
"Violet-crowned Hummingbird","Mexico B",1,2008
"Violet-crowned Hummingbird","Mexico B",0,1969
"Violet-crowned Hummingbird","Mexico B",2,1982
"Violet-crowned Hummingbird","Mexico B",4,1978
"Violet-crowned Hummingbird","Arizona B",1,1978
"Violet-crowned Hummingbird","Arizona B",3,2000
"Violet-crowned Hummingbird","Arizona B",1,1993
"Violet-crowned Hummingbird","Arizona B",1,1994
"Violet-crowned Hummingbird","Mexico B",2,2005
"Violet-crowned Hummingbird","Arizona B",2,2003
"Violet-crowned Hummingbird","Mexico B",2,1971
"Violet-crowned Hummingbird","Arizona A",1,1994
"Violet-crowned Hummingbird","Mexico B",3,2002
"Violet-crowned Hummingbird","Arizona A",0,2008
"Violet-crowned Hummingbird","Arizona A",0,2004
"Violet-crowned Hummingbird","Arizona B",2,2008
"Violet-crowned Hummingbird","Mexico B",5,1966
