"","X1","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","year","pop"
"1",491,5894,"Pulliainen, E. (1981). A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest lapland over 13 winters. Annales Zoologici Fennici. 18: 270-278.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Varriotunturi fell area, Eastern Itakaira, Eastern Finnish Forest Lapland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Mean no. of Tracks per 100m transect","Observation line (transect)","No",1970,0.17
"2",571,5896,"Pulliainen, E. (1981). A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest lapland over 13 winters. Annales Zoologici Fennici. 18: 270-278.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Varriotunturi fell area, Eastern Itakaira, Eastern Finnish Forest Lapland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Mean no. of Tracks per 100m transect","Observation line (transect)","No",1970,0.25
"3",773,5895,"Pulliainen, E. (1981). A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest lapland over 13 winters. Annales Zoologici Fennici. 18: 270-278.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Varriotunturi fell area, Eastern Itakaira, Eastern Finnish Forest Lapland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Mean no. of Tracks per 100m transect","Observation line (transect)","No",1970,0.48
"4",839,5893,"Pulliainen, E. (1981). A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest lapland over 13 winters. Annales Zoologici Fennici. 18: 270-278.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Varriotunturi fell area, Eastern Itakaira, Eastern Finnish Forest Lapland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Mean no. of Tracks per 100m transect","Observation line (transect)","No",1970,0.58
"5",860,5897,"Pulliainen, E. (1981). A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest lapland over 13 winters. Annales Zoologici Fennici. 18: 270-278.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Varriotunturi fell area, Eastern Itakaira, Eastern Finnish Forest Lapland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Mean no. of Tracks per 100m transect","Observation line (transect)","No",1970,0.61
"6",2424,5898,"Pulliainen, E. (1981). A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest lapland over 13 winters. Annales Zoologici Fennici. 18: 270-278.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Varriotunturi fell area, Eastern Itakaira, Eastern Finnish Forest Lapland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Tracks per 100m transect per 24 recordings","Observation line (transect)","No",1970,23
"7",9306,10732,"Kurki, S., A. Nikula, et al. (1998). Abundances of red fox and pine marten in relation to the composition of boreal forest landscapes. Journal of Animal Ecology 67(6): 874-886.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Central Finland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Track density (10kmŒ¿Œ_ 24h Œ¿Œ_ )","Finnish wildlife-triangle method - winter snow tracking census","No",1970,NA
"8",9307,10733,"Kurki, S., A. Nikula, et al. (1998). Abundances of red fox and pine marten in relation to the composition of boreal forest landscapes. Journal of Animal Ecology 67(6): 874-886.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Southern Finland","Finland","Europe",FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Track density (10kmŒ¿Œ_ 24h Œ¿Œ_ )","Finnish wildlife-triangle method - winter snow tracking census","No",1970,NA
"9",9318,11486,"Kauhala, K. and P. Helle (2000). The interactions of predator and hare populations in Finland - a study based on wildlife monitoring counts. Annales Zoologici Fennici 37(3): 151-160.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus 1758","Red fox","100km2 area in Southern Finland","Finland","Europe",TRUE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Track index - the number of crossings per 24h per 10km.","Wildlife triangle counts: In Finland there are around 1200  wildlife triangles situated randomly in forested areas. Then the country was split into 29 100km2 squares. Tracks crossing these triangles were counted 1-5 days after snowfall in each square.","No",1970,NA
"10",9319,11490,"Kauhala, K. and P. Helle (2000). The interactions of predator and hare populations in Finland - a study based on wildlife monitoring counts. Annales Zoologici Fennici 37(3): 151-160.","Mammalia","Carnivora","Canidae","Vulpes","vulpes",NA,"Linnaeus, 1758","Red fox","Northern Finland","Finland","Europe",TRUE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Track index - the number of crossings per 24h per 10km.","Wildlife triangle counts: In Finland there are around 1200  wildlife triangles situated randomly in forested areas. Then the country was split into 29 100km2 squares. Tracks crossing these triangles were counted 1-5 days after snowfall in each square.","No",1970,NA
